domain,date_collected,domain_length,shannon_entropy,digit_ratio,hyphen_count,vowel_consonant_ratio,ngram_score,tld_risk_category,typosquatting_similarity,longest_consonant_run,unique_char_ratio,resolves_flag,rcode,num_a_records,min_ttl,mx_count,num_ns,has_spf,cname_present,num_aaaa_records,asn,geo_country,ptr_present,registrar,domain_age_days,registration_duration_days,privacy_protection_flag,abuseipdb_score,spamhaus_zen_listed,spamhaus_dbl_listed,mx_spamhaus_zen_listed,label,label_reason
driftcoworkstack.click,2026-07-22,22,3.375,0.0,0,0.3333333333333333,-7.0339,medium,0.4828,4,0.6875,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,"Dynadot, LLC",2,365,False,0,False,False,,benign,no_adverse_signal
webmaxhd.chat,2026-07-22,13,3.0,0.0,0,0.3333333333333333,-8.125869230769231,low,0.6154,3,1.0,True,NOERROR,4,30,0,2,False,False,8,213230,US,True,,,,False,0,False,False,,benign,no_adverse_signal
oksex.net,2026-07-22,9,2.321928094887362,0.0,0,0.6666666666666666,-7.149928571428572,low,0.6,2,1.0,True,NOERROR,1,300,0,2,False,False,0,14618,US,True,TuringSign Inc. d/b/a Cosmotown,3,365,False,0,False,False,,benign,no_adverse_signal
winegate.app,2026-07-22,12,2.75,0.0,0,1.0,-6.232353846153846,low,0.6667,1,0.875,True,NOERROR,1,1800,2,3,True,False,0,61189,EE,True,,,,False,0,False,False,False,benign,no_adverse_signal
ducks.live,2026-07-22,10,2.321928094887362,0.0,0,0.25,-7.246942857142857,low,0.8333,3,1.0,True,NOERROR,1,1800,0,2,False,False,1,47583,CY,False,,,,False,32,False,False,,benign,no_adverse_signal
reverainstitute.net,2026-07-22,19,3.006238928653389,0.0,0,0.875,-6.259974074074074,low,0.56,3,0.6,True,NOERROR,1,1800,5,2,True,False,0,22612,US,False,NAMECHEAP INC,2,365,True,0,False,False,False,benign,no_adverse_signal
uswin.pro,2026-07-22,9,2.321928094887362,0.0,0,0.6666666666666666,-7.0426714285714285,low,0.6667,2,1.0,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,,,,,0,False,False,,benign,no_adverse_signal
pogtactical.net,2026-07-22,15,2.9139770731827523,0.0,0,0.5714285714285714,-6.852247368421053,low,0.6667,2,0.7272727272727273,True,NOERROR,1,3600,2,4,True,False,1,8560,US,True,IONOS SE,2,365,True,0,False,False,False,benign,no_adverse_signal
3ding.shop,2026-07-22,10,2.321928094887362,0.1,0,0.3333333333333333,-7.5307,low,0.6667,2,1.0,True,NOERROR,1,14400,1,2,True,False,1,47302,CH,True,,,,False,0,False,False,False,benign,no_adverse_signal
rhys.ninja,2026-07-22,10,2.0,0.0,0,0.0,-8.91138,low,0.5333,4,1.0,False,NOERROR,0,,0,4,False,False,0,,,,,,,,,,False,,benign,no_adverse_signal
a142.buzz,2026-07-22,9,2.0,0.3333333333333333,0,1.0,-10.70334,high,0.5714,0,1.0,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,"Spaceship, Inc.",1,365,False,0,False,False,,benign,no_adverse_signal
beforexylophone.xyz,2026-07-22,19,3.2729055953200556,0.0,0,0.6666666666666666,-7.248181481481481,high,0.4545,3,0.7333333333333333,True,NOERROR,1,14400,0,2,False,False,0,24940,FI,True,"NicNames, Inc",1,365,True,3,False,False,,benign,no_adverse_signal
fortressmasters101.garden,2026-07-22,25,3.127986806877675,0.12,0,0.36363636363636365,-6.704736363636364,low,0.5,3,0.5555555555555556,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,Dynadot Inc,2,365,True,0,False,False,,benign,no_adverse_signal
unitedcenter.shop,2026-07-22,17,2.8553885422075336,0.0,0,0.7142857142857143,-6.254609523809524,low,0.5263,2,0.6666666666666666,True,NOERROR,2,300,5,2,True,False,2,13335,US,False,,,,False,0,False,False,False,benign,no_adverse_signal
caixalabmove.click,2026-07-22,18,3.188721875540867,0.0,0,1.0,-7.555619047619048,medium,0.5455,2,0.8333333333333334,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,"NameSilo, LLC",2,365,True,0,False,False,,benign,no_adverse_signal
mk-hd.net,2026-07-22,9,2.321928094887362,0.0,1,0.0,-9.702342857142856,low,0.4615,2,1.0,True,NOERROR,1,3600,1,2,True,False,0,9371,JP,True,"Japan Registry Services Co.,Ltd.(JPRS)",3,365,False,0,False,False,False,benign,no_adverse_signal
strengthgainnutritioqz.xyz,2026-07-22,26,3.4817145729860717,0.0,0,0.4666666666666667,-7.469280487804878,high,0.4375,5,0.5909090909090909,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,"NameSilo, LLC",2,365,True,0,False,False,,benign,no_adverse_signal
socnzdm.top,2026-07-22,11,2.807354922057604,0.0,0,0.16666666666666666,-9.016436363636364,high,0.5,5,1.0,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,"NameSilo, LLC",2,365,True,0,False,False,,benign,no_adverse_signal
readysetapp.shop,2026-07-22,16,2.9139770731827523,0.0,0,0.5714285714285714,-6.742031578947369,low,0.5263,3,0.7272727272727273,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,,,,False,0,False,False,,benign,no_adverse_signal
marketingconsultoria2026.cfd,2026-07-22,28,4.001629167387823,0.14285714285714285,0,0.6666666666666666,-7.053308888888889,low,0.4375,3,0.7083333333333334,True,NOERROR,2,120,0,4,False,False,0,16509,DE,True,Dynadot Inc,1,365,False,17,False,False,,benign,no_adverse_signal
39126.app,2026-07-22,9,2.321928094887362,0.5555555555555556,0,0.0,-10.856871428571429,low,0.5,0,1.0,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,,,,False,33,False,False,,benign,no_adverse_signal
dsadjkj.shop,2026-07-22,12,2.2359263506290326,0.0,0,0.16666666666666666,-9.271236363636364,low,0.5,4,0.7142857142857143,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,,,,False,33,False,False,,benign,no_adverse_signal
zeusy.net,2026-07-22,9,2.321928094887362,0.0,0,0.6666666666666666,-8.231242857142856,low,0.6667,2,1.0,True,NOERROR,1,1800,1,2,False,False,0,22612,US,False,NAMECHEAP INC,2,365,True,0,False,False,False,benign,no_adverse_signal
beamifece.website,2026-07-22,17,2.6416041678685933,0.0,0,1.25,-7.04702,low,0.625,1,0.7777777777777778,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,NAMECHEAP INC,2,365,False,0,False,False,,benign,no_adverse_signal
59593200720xisdnwzvuv647.top,2026-07-22,28,3.9701755214643457,0.5,0,0.25,-10.778902222222221,high,0.25,6,0.7083333333333334,False,NOERROR,0,,0,2,False,False,0,,,,GoDaddy.com,2,365,True,,,False,,benign,no_adverse_signal
rpgmakeruniverse.shop,2026-07-22,21,3.4056390622295662,0.0,0,0.6,-6.9569965517241386,low,0.5455,4,0.75,True,NOERROR,1,300,0,2,False,False,0,,GE,False,,,,False,0,False,False,,benign,no_adverse_signal
gna777-3f.top,2026-07-22,13,2.6416041678685933,0.3076923076923077,1,0.3333333333333333,-10.227133333333335,high,0.4286,2,0.7777777777777778,True,NOERROR,3,3603,0,3,False,False,0,63949,US,True,"NameSilo, LLC",2,365,True,9,False,False,,benign,no_adverse_signal
v11av2359.xyz,2026-07-22,13,2.725480556997868,0.46153846153846156,0,0.5,-11.06552,high,0.3333,1,0.7777777777777778,True,NOERROR,3,14400,1,2,True,False,0,63949,US,True,Dynadot Inc,2,365,False,0,False,False,False,benign,no_adverse_signal
ebai.xyz,2026-07-22,8,2.0,0.0,0,3.0,-6.8633,high,0.75,1,1.0,False,NOERROR,0,,0,2,False,False,0,,,,"Spaceship, Inc.",2,365,False,,,False,,benign,no_adverse_signal
chefmath.cfd,2026-07-22,12,2.75,0.0,0,0.3333333333333333,-7.208861538461538,low,0.7143,2,0.875,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,NAMECHEAP INC,1,365,True,0,False,False,,benign,no_adverse_signal
444038.xyz,2026-07-22,10,1.7924812503605778,0.6,0,0.0,-10.401066666666667,high,0.2222,0,0.6666666666666666,True,NOERROR,1,300,0,2,False,False,0,906,US,True,"NameSilo, LLC",2,365,True,0,False,False,,benign,no_adverse_signal
buytecnifibre.shop,2026-07-22,18,3.238901256602631,0.0,0,0.625,-7.5279869565217385,low,0.5517,2,0.7692307692307693,True,NOERROR,1,300,0,2,False,False,0,199242,US,False,,,,False,0,False,False,,benign,no_adverse_signal
w23hm.top,2026-07-22,9,2.321928094887362,0.2222222222222222,0,0.0,-11.259471428571429,high,0.5,2,1.0,True,NOERROR,3,10,0,0,False,True,0,54801,SC,False,GoDaddy.com,2,365,True,0,False,False,,benign,no_adverse_signal
hotbzucecu.today,2026-07-22,16,2.9219280948873623,0.0,0,0.6666666666666666,-8.222611764705883,low,0.4706,3,0.8,True,NOERROR,5,600,0,2,False,False,0,63023,DE,True,,,,,0,False,False,,benign,no_adverse_signal
kapten69activate.shop,2026-07-22,21,3.2806390622295662,0.09523809523809523,0,0.75,-7.888179310344828,low,0.5,2,0.6875,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,,,,False,0,False,False,,benign,no_adverse_signal
stylehub99.shop,2026-07-22,15,3.1219280948873624,0.13333333333333333,0,0.3333333333333333,-8.311676470588235,low,0.5,4,0.9,True,NOERROR,1,1799,5,2,True,False,0,396982,US,True,,,,False,0,True,False,False,malicious,spamhaus_zen
your-narley.app,2026-07-22,15,3.0957952550009344,0.0,1,0.6666666666666666,-7.479789473684211,low,0.5882,2,0.8181818181818182,False,NOERROR,0,,0,2,False,False,0,,,,,,,False,,,False,,benign,no_adverse_signal
ethrstudios.net,2026-07-22,15,3.0957952550009344,0.0,0,0.5714285714285714,-6.9842,low,0.5714,5,0.8181818181818182,True,NOERROR,1,7200,1,2,False,False,0,29873,US,True,"Network Solutions, LLC",2,365,True,0,False,False,False,benign,no_adverse_signal
karmaandluckdesign.shop,2026-07-22,23,3.5724312513221195,0.0,0,0.5,-7.219260606060606,low,0.48,3,0.7222222222222222,True,NOERROR,1,300,0,2,False,False,0,199242,GE,False,,,,False,0,False,False,,benign,no_adverse_signal
1upy.shop,2026-07-22,9,2.0,0.1111111111111111,0,0.5,-9.892520000000001,low,0.5714,2,1.0,True,NOERROR,6,60,0,2,False,True,0,8075,KR,False,,,,False,0,True,True,,malicious,spamhaus_zen
dondean.shop,2026-07-22,12,2.2359263506290326,0.0,0,0.75,-6.283827272727273,low,0.625,2,0.7142857142857143,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,,,,False,33,False,False,,benign,no_adverse_signal
188beg.tech,2026-07-22,11,2.2516291673878226,0.2727272727272727,0,0.5,-9.1312,low,0.4444,1,0.8333333333333334,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,Dynadot Inc,2,365,False,0,False,False,,benign,no_adverse_signal
readinglampp.shop,2026-07-22,17,3.2516291673878226,0.0,0,0.5,-6.536142857142858,low,0.5217,3,0.8333333333333334,True,NOERROR,1,1800,0,2,False,False,0,132203,US,False,,,,False,0,True,False,,malicious,spamhaus_zen
melodydock.click,2026-07-22,16,2.921928094887362,0.0,0,0.42857142857142855,-7.403494117647059,medium,0.5,3,0.8,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,NAMECHEAP INC,2,365,False,0,False,False,,benign,no_adverse_signal
vga.lat,2026-07-22,7,1.584962500721156,0.0,0,0.5,-8.672600000000001,low,0.5,2,1.0,True,NOERROR,1,1800,0,2,False,False,0,45903,VN,True,"Spaceship, Inc.",2,365,False,0,True,False,,malicious,spamhaus_zen
animas.live,2026-07-22,11,2.2516291673878226,0.0,0,1.0,-6.109588888888889,low,0.6154,1,0.8333333333333334,True,NOERROR,4,14400,0,4,True,False,0,53831,US,False,,,,False,15,False,False,,benign,no_adverse_signal
celil17500.xyz,2026-07-22,14,2.9219280948873623,0.35714285714285715,0,0.6666666666666666,-9.184158823529412,high,0.4706,1,0.8,True,NOERROR,2,30,0,4,False,False,0,,US,False,Porkbun LLC,379,730,False,0,False,False,,benign,no_adverse_signal
designlevel.app,2026-07-22,15,2.8453509366224368,0.0,0,0.5714285714285714,-7.0032421052631575,low,0.5333,3,0.7272727272727273,True,NOERROR,1,600,0,4,False,False,0,16509,US,False,,,,False,0,False,False,,benign,no_adverse_signal
diegofindz.shop,2026-07-22,15,2.9219280948873623,0.0,0,0.6666666666666666,-7.301594117647059,low,0.5263,3,0.8,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,,,,False,0,False,False,,benign,no_adverse_signal
bj6616.tech,2026-07-22,11,1.7924812503605778,0.36363636363636365,0,0.0,-11.283933333333332,low,0.4444,2,0.6666666666666666,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,Dynadot Inc,2,365,False,0,False,False,,benign,no_adverse_signal
solvwe.net,2026-07-22,10,2.584962500721156,0.0,0,0.5,-8.699922222222222,low,0.6,3,1.0,True,NOERROR,2,600,0,2,False,False,0,16509,US,True,"GoDaddy.com, LLC",3,365,False,33,False,False,,benign,no_adverse_signal
fozcaa2615.xyz,2026-07-22,14,3.121928094887362,0.2857142857142857,0,1.0,-10.141788235294118,high,0.4211,2,0.9,True,NOERROR,2,16,0,4,False,False,0,,US,False,Porkbun LLC,379,730,False,0,False,False,,benign,no_adverse_signal
hwdhome.shop,2026-07-22,12,2.5216406363433186,0.0,0,0.4,-8.298481818181818,low,0.6,4,0.8571428571428571,True,NOERROR,1,300,0,2,False,False,0,199242,GE,True,,,,False,0,False,False,,benign,no_adverse_signal
loveelixirparfums.shop,2026-07-22,22,3.6168746059562227,0.0,0,0.7,-7.44801935483871,low,0.4167,2,0.7647058823529411,True,NOERROR,1,300,0,2,False,False,0,199242,US,False,,,,False,0,False,False,,benign,no_adverse_signal
yyweslo18.shop,2026-07-22,14,2.94770277922009,0.14285714285714285,0,0.4,-8.648253333333333,low,0.4545,3,0.8888888888888888,True,NOERROR,1,600,0,2,False,False,0,16509,KR,True,,,,False,0,False,False,,benign,no_adverse_signal
ustzst.top,2026-07-22,10,1.9182958340544893,0.0,0,0.2,-8.224377777777779,high,0.5714,5,0.6666666666666666,False,NOERROR,0,,0,4,False,False,0,,,,"NameSilo, LLC",2,365,True,,,False,,benign,no_adverse_signal
gianmarcodelfreo.app,2026-07-22,20,3.5,0.0,0,0.7777777777777778,-6.9061551724137935,low,0.5185,3,0.75,True,NOERROR,1,1800,5,2,True,False,0,22612,US,False,,,,False,0,False,False,False,benign,no_adverse_signal
theserkenlabs262.cfd,2026-07-22,20,3.452819531114783,0.15,0,0.4444444444444444,-7.526051724137932,low,0.5333,2,0.75,True,NOERROR,2,60,0,4,False,False,0,,US,False,Porkbun LLC,379,730,False,0,False,False,,benign,no_adverse_signal
cybermaxza.click,2026-07-22,16,3.1219280948873624,0.0,0,0.42857142857142855,-7.917958823529411,medium,0.4444,3,0.9,True,NOERROR,3,3603,0,3,False,False,0,63949,US,True,"NameSilo, LLC",2,365,True,9,False,False,,benign,no_adverse_signal
chatiks.tech,2026-07-22,12,2.807354922057604,0.0,0,0.4,-6.644636363636365,low,0.5714,2,1.0,True,NOERROR,1,86400,0,2,False,False,0,216154,NL,True,Registrar of Domain Names REG.RU LLC,2,365,False,0,False,False,,benign,no_adverse_signal
supportmediahub.shop,2026-07-22,20,3.640223928941851,0.0,0,0.6666666666666666,-6.870140740740741,low,0.5217,3,0.8666666666666667,True,NOERROR,1,60,5,2,True,False,0,14061,DE,False,,,,False,0,False,False,False,benign,no_adverse_signal
xiaoyu8023.top,2026-07-22,14,3.321928094887362,0.2857142857142857,0,2.0,-9.947929411764706,high,0.5,1,1.0,False,NXDOMAIN,0,,0,0,False,False,0,,,,,,,False,,,False,,benign,no_adverse_signal
enak-setiap-hari.xyz,2026-07-22,20,3.327819531114783,0.0,2,1.0,-7.402479310344828,high,0.4444,1,0.6875,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,NAMECHEAP INC,2,365,True,0,False,False,,benign,no_adverse_signal
nohu-ok.run,2026-07-22,11,2.5216406363433186,0.0,1,1.0,-8.950654545454546,low,0.5714,1,0.8571428571428571,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,,,,,0,False,False,,benign,no_adverse_signal
358704.vip,2026-07-22,10,2.584962500721156,0.6,0,0.0,-11.447844444444444,low,0.4444,0,1.0,True,NOERROR,1,600,0,2,False,True,0,49870,SC,False,Dynadot Inc,2,365,True,0,True,True,,malicious,spamhaus_zen
www888bet.pro,2026-07-22,13,2.113283334294875,0.23076923076923078,0,0.2,-9.307646666666667,low,0.5,3,0.5555555555555556,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,,,,,0,False,False,,benign,no_adverse_signal
kenceng.shop,2026-07-22,12,2.2359263506290326,0.0,0,0.4,-6.261563636363636,low,0.6154,2,0.7142857142857143,True,NOERROR,1,1800,5,2,True,False,0,16509,US,False,,,,False,0,False,False,False,benign,no_adverse_signal
sspjw.shop,2026-07-22,10,1.9219280948873623,0.0,0,0.0,-9.779542857142857,low,0.5,5,0.8,True,NOERROR,1,60,0,2,False,False,0,59371,HK,False,,,,False,0,False,False,,benign,no_adverse_signal
blackbrownie.shop,2026-07-22,17,3.418295834054489,0.0,0,0.5,-7.391685714285715,low,0.48,4,0.9166666666666666,True,NOERROR,1,3600,1,3,True,False,0,49604,EE,True,,,,False,0,False,False,False,benign,no_adverse_signal
u514.vip,2026-07-22,8,2.0,0.375,0,1.0,-11.04562,low,0.2857,0,1.0,True,NOERROR,2,300,0,2,False,False,2,13335,US,False,"Spaceship, Inc.",2,365,True,0,False,False,,benign,no_adverse_signal
